Name,Authors,Narrators,Series,SeriesNumber
The Science of Discworld III:  Darwin's Watch,"Terry Pratchett, Ian Stewart, Jack Cohen","Stephen Briggs, Michael Fenton Stevens",Science of Discworld,3
The Science of Discworld IV: Judgement Day,"Terry Pratchett, Ian Stewart, Jack Cohen",Michael Fenton,Science of Discworld,4
The Shepherd's Crown (NEW RECORDING),"Terry Pratchett, Paul Kidby","Indira Varma, Peter Serafinowicz, Bill Nighy, Steven Cree",Discworld,41
Hannibal,Thomas Harris,Daniel Gerroll,Hannibal Lecter,3
Red Dragon,Thomas Harris,Alan Sklar,Hannibal Lecter,1
The Silence of the Lambs,Thomas Harris,Frank Muller,Hannibal Lecter,2
Bossypants,Tina Fey,Tina Fey,,
Patriot Games,Tom Clancy,Michael Prichard,Jack Ryan,1
"Earth, Air, Fire and Custard",Tom Holt,Ray Sawyer,"J. W. Wells & Co.,",3
In Your Dreams,Tom Holt,Ray Sawyer,"J. W. Wells & Co.,",2
The Portable Door,Tom Holt,Ray Sawyer,"J. W. Wells & Co.,",1
Born a Crime- Stories from a South African Childhood,Trevor Noah,Trevor Noah,,
The Left Hand of Darkness,Ursula K. Le Guin,George Guidall,The Hainish Cycle,1
A Darker Shade of Magic,V. E. Schwab,Steven Crossley,A Darker Shade of Magic,1
A Gathering of Shadows,V. E. Schwab,"Kate Reading, Michael Kramer",A Darker Shade of Magic,2
A Conjuring of Light,V. E. Schwab,"Kate Reading, Michael Kramer",A Darker Shade of Magic,3
1979,Val McDermid,Katie Leung,Allie Burns Series,1
Fever of the Bone,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,6
Mermaids Singing,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,1
The Distant Echo,Val McDermid,Tom Cotcher,Karen Pirie,1
The Last Temptation,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,3
The Retribution,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,7
The Torment of Others,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,4
The Wire in the Blood,Val McDermid,Saul Reichlin,Tony Hill & Carol Jordan,2
Trick of the Dark,Val McDermid,"Juanita McMahon, Gerri Halligar",,
A Fire Upon the Deep,Vernor Vinge,Peter Larkin,,
Dinnerladies: A BBC Collection,Victoria Wood,"Victoria Wood, Full Cast",,
Q & A,Vikas Swarup,Christopher Simpson,,
A Canticle for Leibowitz,Walter M. Miller Jr.,Tom Weiner,,
Crooked Little Vein,Warren Ellis,Todd McLaren,,
Gun Machine,Warren Ellis,Reg E. Cathey,,
Normal,Warren Ellis,John Hodgman,,
Neuromancer,William Gibson,Jason Flemyng,Sprawl Trilogy,1
Lord of the Flies,William Golding,Martin Jarvis,,
Existentially Challenged,Yahtzee Croshaw,Yahtzee Croshaw,The DEDA Files,2
Will Destroy the Galaxy for Cash,Yahtzee Croshaw,Yahtzee Croshaw,Jacques McKeown,2
Will Save the Galaxy for Food,Yahtzee Croshaw,Yahtzee Croshaw,Jacques McKeown,1
Life of Pi,Yann Martel,Sanjeev Bhaskar,,
The Salvage Crew,Yudhanjaya Wijeratne,Nathan Fillion,,
The Dark,,,,
Apples Never Fall,,,,
